pca_neuron_1,pca_neuron_2,pca_neuron_3,pca_neuron_4,pca_neuron_5,pca_neuron_6,pca_neuron_7,pca_neuron_8,attack_cat
0.07174320942242551,0.27430519470407794,0.34304356819987225,0.268204108198875,0.5894512527106257,0.45546023520034246,0.5035807640594404,0.4601770077161182,10
0.5893843282288789,0.3088699795298249,0.9306569667645941,0.46450718018131654,0.47804706055893087,0.24331360954577327,0.6268157226742703,0.300537431265936,7
0.04611452248017728,0.2551765924413999,0.3221188286644903,0.2745224748779743,0.4437298454672518,0.4454094343543174,0.46553874551148033,0.45873133854321546,3
0.802014596178273,0.5577739245624506,0.12268908261035935,0.17468294605984616,0.7491679599747696,0.2884195704594393,0.28194005714333203,0.4552811649622697,8
0.08295494766831585,0.8160055837890687,0.21374488381428006,0.7384160223788181,0.4462656731901599,0.21269298313491442,0.47815033733907586,0.468817575352818,6
0.7253604117510613,0.20387447043786905,0.18349231018259776,0.4976055441521253,0.6198260417217472,0.6620835242257589,0.2025934457853279,0.6012715361219957,5
0.03816556189215281,0.2542576435282697,0.31404602626546574,0.26929761098782384,0.44190481992391517,0.4282619524135422,0.4884462591759867,0.46649996902392243,4
0.03981653965754861,0.30089931377321566,0.31061951527523957,0.3400152009918372,0.4178303681697062,0.4303850506983236,0.46212902032182845,0.4518619577770048,1
0.03214666058286908,0.30583768381318405,0.30269401050563843,0.3407784341228365,0.41402632055783783,0.4152532752170283,0.48382517624450716,0.4582753965117271,3
0.10959127870908014,0.5282746688766512,0.27179249898538066,0.3147907028256092,0.4605340590417711,0.7337275844945353,0.5057773860419089,0.4706051355055604,6
0.04708872794939817,0.26457964247056903,0.32244219892904735,0.2836684589574277,0.4597407330920025,0.4727971185339994,0.47815267607543255,0.45557176450920683,3
0.04242597752230198,0.2839441488773926,0.31523054899391467,0.31274823376921956,0.43837913577520216,0.4491356127154265,0.47298828457784065,0.4544176832206621,4
0.8240747760346079,0.25832261832477355,0.1437660950284815,0.5392998643915312,0.7272630357888061,0.647877423884878,0.3889518284129335,0.36275506381255557,9
0.6924390631924477,0.16711247368517748,0.6017512717916293,0.31054235687889187,0.19005458620793725,0.38233279276922727,0.07088208875802599,0.42630917961085035,4
0.2522724613450264,0.5457351145991959,0.7636285290260769,0.232626562367952,0.67108314363483,0.6856467723931724,0.2636389956639983,0.36578065079167377,7
0.05830660819576139,0.7577554324662483,0.1883580502930151,0.6531410471751663,0.19855676631881752,0.45664082654329186,0.4250574192826262,0.45172589621758624,6
0.71896565490515,0.14240986720745338,0.20149812540039655,0.5364415067520487,0.5975906642114577,0.5036026732822794,0.22577908743657324,0.5050108928368032,9
0.017160110381218063,0.27963299820011367,0.2920113091013354,0.28916613043096967,0.4570566369015669,0.4251367690957902,0.5703486265386989,0.48068998810915076,4
0.12453759133801479,0.37387901756622693,0.3906701724098005,0.33789453351479953,0.8486400193031559,0.3257741626960564,0.5409284320749723,0.48688147355179195,9
0.042954905160678736,0.23244663103871865,0.3208973944734592,0.2472689546717165,0.4255838960576961,0.40315018725197327,0.4569621896528444,0.4674694543389919,0
0.13411900152723288,0.6237528260455566,0.28882474018530624,0.44976984037227474,0.6638636233804915,0.45163613639514855,0.5186768539813138,0.47624894960765957,6
0.04812714737544649,0.2586610232232951,0.32466979755077413,0.27797689861212443,0.46042902027576643,0.4718866950641103,0.47524595157072386,0.4563208906139406,0
0.029699189231360223,0.24366226978025501,0.3046193106355324,0.2655794537381535,0.36686800927011315,0.31335453776288225,0.4436307288448408,0.4761781305731756,1
0.06940047435470231,0.6931282567892153,0.2067262949965071,0.5559787399128004,0.27255559761855186,0.5330716110612089,0.4571334929382774,0.45944017660604414,6
0.15601343752202887,0.5039870787455863,0.32682916645566396,0.2667837560433335,0.8035677228730762,0.5897482925013262,0.5792977891265076,0.49075199047900087,6
